product_number,winetype,name
405357,punaviinit,Achaval Ferrer Finca Mirador
462067,punaviinit,Achaval Ferrer Quimera
440567,punaviinit,Alamos Malbec
424107,punaviinit,Alamos Tempranillo
451687,punaviinit,Argento Seleccion Malbec
454597,punaviinit,BenMarco Expresivo
430097,punaviinit,Bodega Piedra Negra Merlot Reserve
004551,punaviinit,Caballo de Mendoza
445518,punaviinit,Caballo de Mendoza  hanapa
487307,punaviinit,Cameleon Organic Cabernet Sauvignon
404038,punaviinit,Cameleon Organic Malbec 2014 hanapa
488437,punaviinit,Catena Zapata Malbec Argentino
434697,punaviinit,Catena Zapata Malbec Nicasia Vineyard
450517,punaviinit,Domaine Bousquet Reserve Organic Malbec
425998,punaviinit,Caballo de Mendoza  hanapakkaus
456707,punaviinit,Espíritu de Argentina Shiraz Malbec  hanapakkaus
006504,punaviinit,Passento  kartonkitölkki
006404,punaviinit,Tandarra
481217,punaviinit,Badgers Creek Shiraz Cabernet  hanapakkaus
431608,punaviinit,No Name  kartonkitölkki
469428,punaviinit,Quay Landing Shiraz  hanapakkaus
431787,punaviinit,Woodie
480007,punaviinit,Melnik 13
446877,punaviinit,Espíritu de Chile Cabernet Carmenère  hanapakkaus
459247,punaviinit,Fortuna  muovipullo
493017,punaviinit,Gato Negro Cabernet Sauvignon Shiraz  kartonkitölkki
460107,punaviinit,Luna Negra Merlot  hanapakkaus
430377,punaviinit,Pato Amado
466907,punaviinit,Pato Amado  muovipullo
446297,punaviinit,Rojo Reserva  kartonkitölkki
459657,punaviinit,Serenata Cabernet Sauvignon
445147,punaviinit,Tarapacá Cabernet Sauvignon Merlot  hanapakkaus
464277,punaviinit,¿Que Pasa? Organico Tempranillo
432417,punaviinit,Cerro Tinto Tempranillo Shiraz  kartonkitölkki
442377,punaviinit,El Tiempo Tinto
498328,punaviinit,Hannibal
405507,punaviinit,Huttunen Punaviini  kartonkitölkki
468278,punaviinit,Los Llanos Red Wine  hanapakkaus
489507,punaviinit,Icono Selección Especial  hanapakkaus
489508,punaviinit,Los Monteros Tinto  hanapakkaus
458717,punaviinit,Palacio del Conde Tempranillo  hanapakkaus
485958,punaviinit,Festivo  kartonkitölkki
444907,punaviinit,Namaqua  hanapakkaus
006871,punaviinit,Rain Dance Shiraz-Ruby Cabernet  hanapakkaus
405047,punaviinit,Stony Cape Cinsault Ruby Cabernet  hanapakkaus
452018,punaviinit,Ciao Organic Sangiovese  kartonkitölkki
437977,punaviinit,Mezzomondo Negroamaro  hanapakkaus
412307,punaviinit,Passimo
498187,punaviinit,Il Papavero Rosso
006573,punaviinit,Lambrusco Grasparossa di Castelvetro Amabile il Fojonco
454497,punaviinit,Trivento Reserve Malbec
485697,punaviinit,Trivento Shiraz-Malbec
407277,punaviinit,Trivento Tribu Malbec
476397,punaviinit,Viento Latino Merlot Malbec
479198,punaviinit,Viento Latino Merlot Malbec 2014 hanapa
474738,punaviinit,Viña Condor Malbec Shiraz 2014 kartonkit
431567,punaviinit,Zuccardi Q Cabernet Sauvignon
444787,punaviinit,Zuccardi Zeta
427857,punaviinit,Tilimuqui Single Vineyard Cabernet Sauvignon Bonarda
408317,punaviinit,Trapiche Zaphy Malbec Syrah Cabernet Sauvignon
413868,punaviinit,Trapiche Zaphy Selección Especial 2014 kartonkit
406577,punaviinit,Bodega Noemía J. Alberto Malbec
416797,punaviinit,Del Fin del Mundo Pinot Noir Reserva
485797,punaviinit,Amalaya
498657,punaviinit,Don David Malbec Reserve
478137,punaviinit,Michel Torino Cuma Organic Malbec
447727,punaviinit,Alma Mora Shiraz-Malbec
432277,punaviinit,Finca Las Moras Black Label Malbec
439887,punaviinit,Finca Las Moras Organic Malbec
403017,punaviinit,Finca Las Moras Reserva Sangiovese
453157,punaviinit,Graffigna Malbec
425858,punaviinit,Las Moras Organic Shiraz 2014 hanapa
469387,punaviinit,Trapiche Organic Cabernet Sauvignon Syrah
438238,punaviinit,Passento  kartonkitölkki
443347,punaviinit,Angove Warboys Vineyard Grenache
449687,punaviinit,Benchmark Cabernet Sauvignon
